timestamp,power
1681738200,1130
1681738500,1580
1681738800,1640
1681739100,2130
1681739400,2350
1681739700,1950
1681740000,1200
1681740300,1200
1681740600,1210
1681740900,780
1681741200,740
1681741500,780
1681741800,1210
1681742100,1410
1681742400,1530
1681742700,2410
1681743000,2130
1681743300,1830
1681743600,1210
1681743900,1210
1681744200,1210
1681744500,1030
1681744800,960
1681745100,750
1681745400,600
1681745700,500
1681746000,460
1681746300,350
1681746600,300
1681746900,360
1681747200,470
1681747500,460
1681747800,300
1681748100,260
1681748400,210
1681748700,230
1681749000,230
1681749300,200
1681749600,140
1681749900,110
1681750200,60
1681750500,30
1681750800,20
1681751100,20
1681751400,20
1681751700,20
1681752000,20
1681752300,20
1681752600,20
1681752900,20
1681753200,20
1681753500,20
1681753800,20
1681754100,20
1681754400,20
1681754700,20
1681755000,20
1681755300,20
1681755600,20
1681756800,0
1681789200,20
1681789500,20
1681789800,20
1681790100,40
1681790400,40
1681790700,50
1681791000,80
1681791300,90
1681791600,100
1681791900,120
1681792200,170
1681792500,200
1681792800,360
1681793100,480
1681793400,550
1681793700,500
1681794000,400
1681794300,340
1681794600,330
1681794900,340
1681795200,310
1681795500,270
1681795800,300
1681796100,320
1681796400,300
1681796700,290
1681797000,320
1681797300,470
1681797600,590
1681797900,620
1681798200,580
1681798500,810
1681798800,970
1681799100,830
1681799400,850
1681799700,880
1681800000,1080
1681800300,1380
1681800600,1470
1681800900,1520
1681801200,1840
1681801500,1990
1681801800,2270
1681802100,2050
1681802400,2290
1681802700,2430
1681803000,2850
1681803300,2830
1681803600,4910
1681803900,3040
1681804200,3420
1681804500,5340
1681804800,4810
1681805100,3610
1681805400,3470
1681805700,3390
1681806000,4850
1681806300,6870
1681806600,5610
1681806900,6440
1681807200,6270
1681807500,6770
1681807800,3130
1681808100,3900
1681808400,4290
1681808700,2790
1681809000,2580
1681809300,2210
1681809600,2080
1681809900,1910
1681810200,1830
1681810500,1790
1681810800,1720
1681811100,1970
1681811400,1870
1681811700,1850
1681812000,1820
1681812300,2100
1681812600,2720
1681812900,2940
1681813200,5940
1681813500,4630
1681813800,5480
1681814100,5640
1681814400,6620
1681814700,6590
1681815000,3470
1681815300,1680
1681815600,1430
1681815900,1330
1681816200,2190
1681816500,2800
1681816800,2170
1681817100,1400
1681817400,1700
1681817700,1740
1681818000,2230
1681818300,1620
1681818600,1540
1681818900,1900
1681819200,2350
1681819500,2500
1681819800,2450
1681820100,1650
1681820400,1980
1681820700,3090
1681821000,2990
1681821300,1560
1681821600,2050
1681821900,2190
1681822200,2450
1681822500,2040
1681822800,2040
1681823100,2420
1681823400,2620
1681823700,2500
1681824000,2370
1681824300,2050
1681824600,1870
1681824900,1740
1681825200,1710
1681825500,1860
1681825800,1880
1681826100,1800
1681826400,1610
1681826700,1490
1681827000,1400
1681827300,1400
1681827600,1330
1681827900,1250
1681828200,1300
1681828500,1270
1681828800,1190
1681829100,1110
1681829400,1050
1681829700,980
1681830000,950
1681830300,900
1681830600,850
1681830900,810
1681831200,800
1681831500,770
1681831800,730
1681832100,690
1681832400,640
1681832700,570
1681833000,520
1681833300,490
1681833600,480
1681833900,450
1681834200,440
1681834500,430
1681834800,400
1681835100,370
1681835400,350
1681835700,310
1681836000,280
1681836300,280
1681836600,220
1681836900,160
1681837200,120
1681837500,100
